date,proponent,senate_bill_no,short_title,long_title,scope,status,subject,primary_committee,secondary_committee,links
"september 26, 2016","['pangilinan, francis n.']",1171,expanded crop insurance act of 2016,"an act to provide compensation to farmers who suffer from recurrent disasters and calamities, to sustain agricultural credit and financing, and to ensure food security, by making insurance mandatory for palay and other essential crops, amending for the purpose section 4 of presidential decree no. 1467, as amended by republic act no. 8175, or the ‘revised charter of the philippine crop insurance corporation (pcic) act of 1995,’ and for other purposes",National,pending in the committee (9/27/2016),"['Philippine Crop Insurance Corporation', 'Farmers', 'Calamity/Disaster', 'Food Security Rice Reserve']",['Agriculture and Food'],['Government Corporations and Public Enterprises'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1171
"september 26, 2016","['binay, maria lourdes nancy s.']",1170,anti-corporal punishment act of 2016,"an act prohibiting all forms of corporal punishment and all other forms of humiliating or degrading punishment of children and promoting positive and non-violent discipline of children, appropriating funds therefor, and for other purposes",National,consolidated/substituted in the committee report (5/30/2017),"['Corporal Punishment', 'Children/Child Care']","['Women, Children, Family Relations and Gender Equality']",['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1170
"september 22, 2016","['villanueva, joel']",1169,workers' right to self-organization,"an act further strengthening workers’ right to self-organization by amending for this purpose articles 240[234](c), 242[235], 243[236], 244[237] and 285 [270] of presidential decree no. 442, otherwise known as the labor code of the philippines, as amended",National,pending in the committee (9/26/2016),"['Workers Right to Self-Organization', 'Labor Code of the Philippines (P.D.No. 442)', 'Unionism']","['Labor, Employment and Human Resources Development']",,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1169
"september 21, 2016","['pimentel, aquilino koko iii l.']",1168,amending r.a. 6768 (expanded balikbayan program),"an act instituting the expanded balikbayan program, amending for the purpose republic act no. 6768, as amended by republic act no. 9174, and for other purposes",National,pending in the committee (9/26/2016),"['Balikbayan', 'Balikbayan Boxes']",['Ways and Means'],['Tourism'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1168
"september 21, 2016","['sotto iii, vicente c.']",1167,rightsizing the national government act of 2016,an act rightsizing the national government to improve public service delivery,National,consolidated/substituted in the committee report (3/15/2017),"['Reorganization', 'Rightsizing the National Government', 'Government Reorganization']","['Civil Service, Government Reorganization and Professional Regulation']",['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1167
"september 20, 2016","['villanueva, joel']",1166,maximizing benefits from mineral and mineral products and quary resources act of 2016,an act providing for the maximization of benefits from finite minerals and mineral products and quarry resources,National,pending in the committee (9/26/2016),"['Mineral Resources', 'Quarrying']",['Environment and Natural Resources'],"['Local Government', 'Ways and Means']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1166
"september 20, 2016","['villanueva, joel']",1165,"no garage, no car act of 2016",an act requiring parking space from motor vehicle buyers in metropolitan areas as a pre-requisite for the purchase of a motor vehicle and registration with the land transportation office (lto),National,pending in the committee (9/26/2016),['Motor Vehicles'],"['Trade, Commerce and Entrepreneurship']",['Public Services'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1165
"september 20, 2016","['villanueva, joel']",1164,permanent appointment to all government casual/contractual employees with 3 years continuous service,an act providing for a permanent appointment to all casual and contractual employees of the government who have rendered the prescribed years of service in the national government agencies and the local government units and for other purposes,National,consolidated/substituted in the committee report (10/19/2016),['Casual/Contractual Employees'],"['Civil Service, Government Reorganization and Professional Regulation']",,http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1164
"september 20, 2016","['villanueva, joel']",1163,youth suicide prevention act,an act to provide early youth suicide intervention and prevention expansion,National,pending in the committee (9/26/2016),['Youth Suicide'],['Youth'],"['Health and Demography                             ', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1163
"september 19, 2016","['legarda, loren b.']",1162,rightsizing the national government act of 2016,an act rightsizing the national government to improve public service delivery,National,consolidated/substituted in the committee report (3/15/2017),"['Government Reorganization', 'Reorganization', 'Rightsizing the National Government']","['Civil Service, Government Reorganization and Professional Regulation']",['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1162
"september 19, 2016","['legarda, loren b.']",1161,anti-hazing act,"an act prohibiting hazing and regulating other forms of initiation rites of fraternities, sororities, and other organizations, and providing penalties for violation thereof, repealing for the purpose republic act no. 8049",National,consolidated/substituted in the committee report (1/23/2018),['Hazing'],['Public Order and Dangerous Drugs'],['Justice and Human Rights'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1161
"september 19, 2016","['legarda, loren b.']",1160,subscriber identity module (sim) card registration act,an act requiring the registration of all users of pre-paid subscriber identity module (sim) cards,National,pending in the committee (9/21/2016),"['Sim Card Registration', 'Cellular Phones/Cell Phones']",['Public Services'],"['Trade, Commerce and Entrepreneurship']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1160
"september 19, 2016","['binay, maria lourdes nancy s.']",1159,accessible rural health care act of 2016,"an act making health care services accessible by mandating the department of health to provide at least one (1) health worker or such other necessary health personnel in every barangay, and for other purposes",National,pending in the committee (9/21/2016),['Health Care'],['Health and Demography'],"['Local Government', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1159
"september 19, 2016","['angara, juan edgardo ""sonny"" m.']",1158,philippine hiv and aids act,"an act strengthening the philippine comprehensive policy on hiv and aids prevention, treatment, care, and support, repealing for the purpose republic act no. 8504, otherwise known as ‘the philippine aids prevention and control act of 1998’, and appropriating funds therefor",National,consolidated/substituted in the committee report (3/14/2017),"['Acquired Immune Deficiency Syndrome (AIDS)', 'Human Immuno Deficiency Virus (HIV)']",['Health and Demography'],"['Education, Arts and Culture', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1158
"september 19, 2016","['angara, juan edgardo ""sonny"" m.']",1157,medical scholarship program,an act establishing a medical scholarship program to ensure the availability of doctors in every province nationwide,National,pending in the committee (9/21/2016),['Scholarship Grants'],['Health and Demography'],"['Education, Arts and Culture', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1157
"september 19, 2016","['angara, juan edgardo ""sonny"" m.']",1156,ensure health act,"an act to enhance and sustain the universal health care (uhc) by establishing a medical residency expansion training program, appropriating funds therefor, and for other purposes",National,pending in the committee (9/21/2016),['Ensure Health Act'],['Health and Demography'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1156
"september 19, 2016","['angara, juan edgardo ""sonny"" m.']",1155,philippine mental health act,"an act promulgating a national mental health policy towards the enhancement of integrated mental health services, the promotion and protection of persons utilizing mental health services, appropriating funds therefor and for other purposes",National,consolidated/substituted in the committee report (2/28/2017),['Mental Health'],['Health and Demography'],['Finance'],http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1155
"september 19, 2016","['binay, maria lourdes nancy s.']",1154,young women's refuge and assistance act,"an act establishing refuge and assistance to young pregnant women in every province and city of the philippines, appropriating funds therefor, and for other purposes",National,consolidated/substituted in the committee report (7/30/2018),['Pregnancy'],"['Women, Children, Family Relations and Gender Equality']","['Social Justice, Welfare and Rural Development', 'Finance']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-1154
