,dates,titles,descriptions,proponents,links
20,2019-01-28 00:00:00,SBN-2181: Making the Position of a Cooperatives Officer Mandatory,,"['zubiri, juan miguel f.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2181
21,2019-01-28 00:00:00,SBN-2180: Public Utility Motorcycles Act of 2019,"an act allowing the use of motorcycles as public utility vehicles, amending for the purpose republic act no. 4136 or the land transportation and traffic code","['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2180
22,2019-01-28 00:00:00,SBN-2179: Increasing the Bed Capacity of Jose B. Lingad Memorial General Hospital,,"['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2179
23,2019-01-28 00:00:00,SBN-2178: Siargao Island Medical Center Act of 2019,"an act converting the siargao district hospital in the province of surigao del norte into a level 3 general hospital to be known as the siargao island medical center, and appropriating funds therefor","['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2178
24,2019-01-24 00:00:00,SBN-2177: Increasing the Excise Tax on Tobacco Products,,"['gatchalian, sherwin t.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2177
25,2019-01-23 00:00:00,SBN-2176: Comprehensive Atomic Regulation Act,"an act providing for comprehensive atomic regulation, creating for the purpose, the philippine atomic regulatory commission, and appropriating funds therefor","['sotto iii, vicente c', ' ejercito, joseph victor g', ' aquino iv, paolo benigno ""bam""']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2176
26,2019-01-23 00:00:00,SBN-2175: Magna Carta for Workers in the Informal Economy,"an act providing for a magna carta for workers, enterprises and organizations in the informal economy and providing mechanisms for recognition, integration, and transition to the formal economy","['angara, juan edgardo ""sonny"" m', ' poe, grace l', ' villanueva, joel, ejercito, joseph victor g', ' de lima, leila m', ' legarda, loren b.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2175
27,2019-01-23 00:00:00,SBN-2174: Safe Public Indoor Play Area Act,an act establishing safety and cleanliness standards for public indoor play areas,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2174
28,2019-01-23 00:00:00,SBN-2173: Use of Motorcycles as Public Utility Vehicles,"an act allowing the use of motorcycles as public utility vehicles, amending for the purpose republic act no. 4136, otherwise known as the ‘land transportation and traffic code","['recto, ralph g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2173
29,2019-01-23 00:00:00,SBN-2172: Community-Based Monitoring System Act,an act establishing a community-based monitoring system and appropriating funds therefor,"['binay, maria lourdes nancy s', ' zubiri, juan miguel f', ' de lima, leila m', ' angara, juan edgardo ""sonny"" m', ' legarda, loren b.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2172
30,2019-01-23 00:00:00,SBN-2171: Philippine Warehouse Receipts Act of 2019,,"['gatchalian, sherwin t', ' pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2171
31,2019-01-23 00:00:00,SBN-2170: Bpa in Child Care Articles Prohibition Act,"an act prohibiting the use of bpa in baby food packaging, containers, and other child care articles, providing for its replacement with safer alternatives","['binay, maria lourdes nancy s', ' pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2170
32,2019-01-22 00:00:00,SBN-2169: Greater Baguio-Benguet Development Authority Act of 2019,"an act creating the greater baguio-benguet development authority, defining its powers and functions, providing funds therefor","['recto, ralph g', ' gordon, richard j', ' gatchalian, sherwin t', ' legarda, loren b.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2169
33,2019-01-22 00:00:00,SBN-2168: Charter of the Davao International Airport Authority,,"['zubiri, juan miguel f', ' poe, grace l', ' angara, juan edgardo ""sonny"" m', ' legarda, loren b', ' gordon, richard j', ' ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2168
34,2019-01-22 00:00:00,SBN-2167: Philippine Genetic Resources Access and Benefit-Sharing Act (Pgrabs) Act,"an act strengthening the national policy on wealth generation from access, benefit-sharing from the utilization of philippine genetic resources and for other purposes","['aquino iv, paolo benigno ""bam""']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2167
35,2019-01-22 00:00:00,SBN-2166: National Commission on Disability Affairs Act of 2019,"an act creating the national commission on disability affairs, defining its powers, functions and responsibilities and appropriating funds therefor and for other purposes","['de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2166
36,2019-01-21 00:00:00,SBN-2165: Organ and Tissue Donation Act of 2019,"an act providing for an opt-out system of organ and tissue donation, promoting the right to health, providing penalties therefor, and for other purposes.","['gordon, richard j', ' ejercito, joseph victor g', ' legarda, loren b.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2165
37,2019-01-21 00:00:00,"SBN-2164: Amending R.A No. 6977 (The Magna Carta for Micro, Small and Medium Enterprises)",,"['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2164
38,2019-01-21 00:00:00,SBN-2163: Exempting Petroleum Products From Value-Added Tax,"an act exempting petroleum products from value-added tax, amending for the purpose section 109 of the national internal revenue code of 1997, as amended","['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2163
39,2019-01-21 00:00:00,SBN-2162: Remittance Act,,"['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2162
40,2019-01-21 00:00:00,SBN-2161: Paskuhan Village Act,"an act declaring the paskuhan village in the city of san fernando, province of pampanga as an important cultural property of the public dominion","['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2161
41,2019-01-21 00:00:00,SBN-2160: Prohibiting the Withholding of Muslim Cadavers in the Custody of Hospitals/Funeral Homes,,"['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2160
42,2019-01-21 00:00:00,SBN-2159: National Commission of Senior Citizens Act,,"['aquino iv, paolo benigno ""bam"", sotto iii, vicente c', ' angara, juan edgardo ""sonny"" m', ' trillanes, antonio ""sonny"" f', ' de lima, leila m', ' binay, maria lourdes nancy s', ' drilon, franklin m', ' ejercito, joseph victor g', ' gatchalian, sherwin t', ' gordon, richard j', ' honasan ii, gregorio b', ' hontiveros, risa, lacson, panfilo m', ' legarda, loren b', ' pimentel, aquilino koko iii l', ' poe, grace l', ' villanueva, joel, zubiri, juan miguel f.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2159
43,2019-01-21 00:00:00,SBN-2158: Seniors Fraud Prevention Act,“an act establishing an advisory office within the department of trade and industry for the purpose of preventing fraud targeting senior citizens,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2158
44,2019-01-21 00:00:00,SBN-2157: Senior Vision Services Act,an act establishing a national senior vision services program for elderly persons with functional visual impairments,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2157
45,2019-01-21 00:00:00,SBN-2156: National Day for Road Traffic Victims in the Philippines,an act declaring the third sunday of november of every year as the ‘national day of remembrance for road traffic victims in the philippines,"['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2156
46,2019-01-17 00:00:00,SBN-2155: Alien Social Integration Act of 2019,an act granting legal residency status to certain aliens in the philippines under certain conditions,"['gordon, richard j.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2155
47,2019-01-16 00:00:00,SBN-2154: Freeport Area of Quirino (FAQ) Act,,"['zubiri, juan miguel f.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2154
48,2019-01-16 00:00:00,SBN-2153: Emergency Response Employees Disease Protection Act,an act establishing a study and demonstration projects on the cases of hepatitis c among emergency response employees,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2153
49,2019-01-16 00:00:00,SBN-2152: National Computer Recycling Act of 2018,,"['de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2152
50,2019-01-15 00:00:00,SBN-2151: Safe Bottled Water Act,an act regulating the quality standards of bottled water,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2151
51,2019-01-15 00:00:00,SBN-2150: Palliative and Hospice Care Act,an act integrating palliative and hospice care into the philippine health care system,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2150
52,2019-01-15 00:00:00,SBN-2149: Green Packaging Act of 2019,an act mandating the use of sustainable packaging of consumer products,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2149
53,2019-01-15 00:00:00,SBN-2148: Magna Carta for Barangays,an act providing for a magna carta for barangays,"['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2148
54,2019-01-15 00:00:00,SBN-2147: Mandatory Electoral Debates,"an act making electoral debates mandatory, amending for the purpose section 7.3 of republic act no. 9006 otherwise known as the “fair election act”","['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2147
55,2019-01-14 00:00:00,SBN-2146: Internet Safety Education Act,an act establishing a safety internet education program in the curriculum of all elementary and secondary schools,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2146
56,2019-01-14 00:00:00,SBN-2145: Visually-Impaired Friendly Atm Act,an act extending the services of automated teller machines to visually-impaired individuals,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2145
57,2019-01-14 00:00:00,SBN-2144: Solid Waste Importation Ban,an act banning the importation of solid waste,"['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2144
58,2019-01-14 00:00:00,SBN-2143: Computer Science in Schools Act of 2019,"an act integrating computer science in the curriculum of the enhanced basic education (k-12)  program, appropriating funds therefor, and for other purposes","['pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2143
59,2019-01-14 00:00:00,SBN-2142: Increasing the Monthly Social Pension of Senior Citizens,,"['aquino iv, paolo benigno ""bam""']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2142
60,2019-01-14 00:00:00,SBN-2141: Modernized National Measurement System Act,"an act modernizing the national measurement system (nms) of the philippines, appropriating funds therefore and for other purposes","['aquino iv, paolo benigno ""bam""']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2141
61,2019-01-14 00:00:00,SBN-2140: Providing Compensation to Sangguniang Kabataan Officials,"an act providing compensation to sangguniang kabataan officials further amending republic act  10742, entitled ""sangguniang kabataan reform act of 2015""","['aquino iv, paolo benigno ""bam""']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2140
62,2019-01-14 00:00:00,SBN-2139: An Act Reorganizing Comelec Offices,an act reorganizing the offices of the commission on elections (comelec),"['aquino iv, paolo benigno ""bam""']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2139
63,2019-01-14 00:00:00,SBN-2138: Lingap Para Kay Lolo At Lola Act,"an act granting universal social pension to all senior citizens aged 65 years old and above, amending for this purpose republic act no. 7432, as amended.","['hontiveros, risa']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2138
64,2018-12-13 00:00:00,SBN-2137: Electric Vehicles and Charging Stations Act of 2018,"an act providing the national energy policy and regulatory framework for the use of electric and hybrid vehicles, and the establishment of electric charging stations","['gatchalian, sherwin t.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2137
65,2018-12-13 00:00:00,SBN-2136: Condonation of Loan Interest Arrearages and Penalties in Favor of Local Water Districts  Act of 2018,,"['angara, juan edgardo ""sonny"" m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2136
66,2018-12-13 00:00:00,"SBN-2135: Maritime Safety, Security and Prevention of Ship-Sourced Pollution Act of the Philippines",an act providing for the full and effective implementation and enforcement of international maritime instruments of which the philippines is a state-party,"['angara, juan edgardo ""sonny"" m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2135
67,2018-12-13 00:00:00,SBN-2134: Divorce Act of 2018,an act instituting absolute divorce in the philippines,"['hontiveros, risa']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2134
